index,rhop,rhot,total_parallel_current_density_a_per_m2,bootstrap_parallel_current_density_a_per_m2,bootstrap_current_density_raw_jbsbav_a_per_m2,driven_parallel_current_density_a_per_m2
25,0.4419417382415922,0.29194345430001367,640659.0513972018,78171.08012058007,37171.081842067346,562487.9712766218
26,0.45069390943299864,0.2981846633272898,638123.3480578039,83557.2458809807,39732.25418337269,554566.1021768232
27,0.4592793267718459,0.3043348017916495,635560.2779097144,88799.95932200896,42225.2136012337,546760.3185877055
28,0.46770717334674267,0.3104006462524057,632966.1776151503,93560.87064743653,44489.071593822744,539405.3069677138
29,0.4759858191164943,0.31638740365895585,630340.3554655003,97734.22289477,46473.53973347389,532606.1325707302
30,0.4841229182759271,0.3222996492577343,627683.001518558,101358.6997630896,48197.01248195288,526324.3017554685
31,0.4921254921257382,0.3281418692299808,624993.5960263335,104303.84717034524,49597.45769958562,520689.74885598826
32,0.5,0.33391816584509154,622271.77051,106561.14992305725,50670.826332,515710.6205869427
33,0.5077524002897476,0.3396352674146898,619509.2279450453,108022.40614788444,51365.667373488715,511486.82179716084
34,0.5153882032022076,0.34529415285989484,616712.7326753755,108729.16323774852,51701.73699910059,507983.56943762704
35,0.5229125165837972,0.35089799518638554,613882.4262956588,108706.06000701568,51690.75119617882,505176.3662886431
36,0.5303300858899106,0.35645339134129556,611008.6356373191,107687.97701098498,51206.643181947715,503320.65862633404
37,0.5376453291901642,0.3619603644939948,608098.8482381154,105803.63177173336,50310.619345525236,502295.2164663821
38,0.5448623679425842,0.36742249684998757,605150.5959633212,103150.47174564691,49049.01686648007,502000.1242176743
39,0.5519850541454905,0.37284441228402115,602158.256910401,99108.33133528956,47126.94118607811,503049.92557511147
40,0.5590169943749475,0.37822511447954704,599130.5493750556,93753.50936200986,44580.67310955351,505377.0400130457
41,0.5659615711335886,0.3835724580973106,596052.6443586113,87357.95246923124,41539.52581671361,508694.69188938016
42,0.57282196186948,0.3888827341842931,592939.7171608516,80461.31854258433,38260.11169416677,512478.39861826727
43,0.5796011559684815,0.39416458261723686,589774.349940241,73011.67997458704,34717.73867747429,516762.669965654
44,0.5863019699779287,0.399413653453744,586572.5377000496,65137.12457671235,30973.31372245525,521435.41312333714
45,0.5929270612815711,0.4046389927095631,583315.5077897445,56766.35223574199,26992.93295647929,526549.1555540025
46,0.5994789404140899,0.4098362003482934,580018.7663961791,48035.51027068943,22841.33570679916,531983.2561254897
47,0.6059599821770412,0.41501230161213337,576668.3169581688,39890.07684125997,18968.10570693989,536778.2401169088
48,0.6123724356957945,0.42016608445231063,573270.9629641408,33389.44025779572,15876.992035531484,539881.522706345
49,0.6187184335382291,0.4252997495411078,569824.645419221,29153.357542422997,13862.694969915883,540671.2878767981
