# rhot j_driven_a_per_m2 j_bootstrap_lagged_a_per_m2 j_total_target_a_per_m2
0.6116468638 2.7999892583e+05 1.1713719914e+05 3.9713612497e+05
0.6173024832 2.7435489421e+05 1.1630651773e+05 3.9066141195e+05
0.6230139887 2.6888978926e+05 1.1519854216e+05 3.8408833142e+05
0.6287848481 2.6363148160e+05 1.1378645542e+05 3.7741793702e+05
0.6346187171 2.5860240568e+05 1.1205009757e+05 3.7065250326e+05
0.6405194576 2.5377405044e+05 1.1002147434e+05 3.6379552478e+05
0.6464911549 2.4898012969e+05 1.0787179931e+05 3.5685192900e+05
0.6525381357 2.4413849031e+05 1.0569036210e+05 3.4982885241e+05
0.6586649900 2.3926653427e+05 1.0346948873e+05 3.4273602299e+05
0.6648765946 2.3436819886e+05 1.0121782592e+05 3.3558602478e+05
