#psi, P, q
4.882812500000000000e-01 1.282113421000000017e+04 1.522427645000000052e+00
4.902343750000000000e-01 1.278448180999999931e+04 1.526367476999999973e+00
4.921875000000000000e-01 1.274802066999999988e+04 1.530333632000000055e+00
4.941406250000000555e-01 1.271148474999999962e+04 1.534329290000000068e+00
4.960937499999999445e-01 1.267462526000000071e+04 1.538357592999999968e+00
4.980468750000000000e-01 1.263721861999999965e+04 1.542421489999999951e+00
5.000000000000000000e-01 1.259918369999999959e+04 1.546522944999999982e+00
5.019531250000000000e-01 1.256049433999999928e+04 1.550663533000000038e+00
5.039062500000000000e-01 1.252112668999999914e+04 1.554844773999999985e+00
5.058593750000000000e-01 1.248108961000000090e+04 1.559067654999999997e+00
5.078125000000000000e-01 1.244041941000000043e+04 1.563332704000000017e+00
5.097656250000000000e-01 1.239915280999999959e+04 1.567640431000000056e+00
5.117187500000000000e-01 1.235731385000000046e+04 1.571991480999999968e+00
5.136718750000000000e-01 1.231490264000000025e+04 1.576386760000000109e+00
5.156250000000000000e-01 1.227191659000000072e+04 1.580827194000000047e+00
5.175781250000000000e-01 1.222835529999999926e+04 1.585313677999999893e+00
5.195312500000000000e-01 1.218422950999999921e+04 1.589846972999999997e+00
5.214843750000000000e-01 1.213955334000000039e+04 1.594427795999999953e+00
5.234375000000000000e-01 1.209434073999999964e+04 1.599056846999999948e+00
5.253906250000000000e-01 1.204860467000000062e+04 1.603734693000000044e+00
5.273437500000000000e-01 1.200235726000000068e+04 1.608461788999999920e+00
5.292968750000000000e-01 1.195561051000000043e+04 1.613238581999999921e+00
5.312500000000000000e-01 1.190837628000000041e+04 1.618065472000000060e+00
5.332031250000000000e-01 1.186066627999999946e+04 1.622942756000000042e+00
5.351562500000000000e-01 1.181249209999999948e+04 1.627870716000000106e+00
5.371093750000000000e-01 1.176386514999999963e+04 1.632849639000000019e+00
5.390625000000000000e-01 1.171479613000000063e+04 1.637879869999999904e+00
5.410156250000000000e-01 1.166529541000000063e+04 1.642961777000000012e+00
5.429687500000000000e-01 1.161537322999999924e+04 1.648095727999999927e+00
5.449218750000000000e-01 1.156504009000000042e+04 1.653282131999999960e+00
5.468750000000000000e-01 1.151430681999999979e+04 1.658521456999999977e+00
5.488281250000000000e-01 1.146318420999999944e+04 1.663814173000000007e+00
5.507812500000000000e-01 1.141168257000000085e+04 1.669160761000000104e+00
5.527343750000000000e-01 1.135981045000000086e+04 1.674561777000000085e+00
5.546875000000000000e-01 1.130757583999999952e+04 1.680017797000000090e+00
5.566406250000000000e-01 1.125498666000000048e+04 1.685529389999999905e+00
5.585937500000000000e-01 1.120205178999999953e+04 1.691097131999999892e+00
5.605468750000000000e-01 1.114878105999999934e+04 1.696721608000000048e+00
5.625000000000000000e-01 1.109518427999999949e+04 1.702403399000000039e+00
5.644531250000000000e-01 1.104127150000000074e+04 1.708143073000000012e+00
5.664062500000000000e-01 1.098705406000000039e+04 1.713941173000000040e+00
5.683593750000000000e-01 1.093254358999999931e+04 1.719798233999999981e+00
5.703125000000000000e-01 1.087775166999999965e+04 1.725714782000000058e+00
5.722656250000000000e-01 1.082269206999999915e+04 1.731691298000000101e+00
5.742187500000000000e-01 1.076738073000000077e+04 1.737728219999999935e+00
5.761718750000000000e-01 1.071183354999999938e+04 1.743825979999999998e+00
5.781250000000000000e-01 1.065606370000000061e+04 1.749985040999999963e+00
5.800781250000000000e-01 1.060007331999999951e+04 1.756206017000000008e+00
5.820312500000000000e-01 1.054386158000000069e+04 1.762489560999999982e+00
5.839843750000000000e-01 1.048742800999999963e+04 1.768836306000000080e+00
5.859375000000000000e-01 1.043078326000000015e+04 1.775246606999999921e+00
5.878906250000000000e-01 1.037395103999999992e+04 1.781720489000000018e+00
5.898437500000000000e-01 1.031695563000000038e+04 1.788257954000000094e+00
5.917968750000000000e-01 1.025983116999999947e+04 1.794858918000000081e+00
5.937500000000000000e-01 1.020267165999999997e+04 1.801522773000000077e+00
5.957031250000000000e-01 1.014559245000000010e+04 1.808248719000000060e+00
5.976562500000000000e-01 1.008870788999999968e+04 1.815035965999999945e+00
5.996093750000000000e-01 1.003213967000000048e+04 1.821883718000000041e+00
6.015625000000000000e-01 9.976023381000000882e+03 1.828791161999999915e+00
6.035156250000000000e-01 9.920494865000000573e+03 1.835757493000000018e+00
6.054687500000000000e-01 9.865680001999999149e+03 1.842781999999999920e+00
6.074218750000000000e-01 9.811605922999999166e+03 1.849864987999999988e+00
6.093750000000000000e-01 9.758237895000000208e+03 1.857007397000000060e+00
6.113281250000000000e-01 9.705540538999999626e+03 1.864210166999999974e+00
6.132812500000000000e-01 9.653455298999999286e+03 1.871474537999999965e+00
6.152343750000000000e-01 9.601842253000000710e+03 1.878802811999999989e+00
6.171875000000000000e-01 9.550544974000000366e+03 1.886197502999999998e+00
6.191406250000000000e-01 9.499409725999999864e+03 1.893661097000000071e+00
6.210937500000000000e-01 9.448332479999999123e+03 1.901195860999999931e+00
6.230468750000000000e-01 9.397273434999999154e+03 1.908803784999999920e+00
6.250000000000000000e-01 9.346197448000000804e+03 1.916486825000000005e+00
6.269531250000000000e-01 9.295073146999999153e+03 1.924246901000000065e+00
6.289062500000000000e-01 9.243901916999999230e+03 1.932085781999999918e+00
6.308593750000000000e-01 9.192702992000000449e+03 1.940005144999999986e+00
6.328125000000000000e-01 9.141495616000000155e+03 1.948006651000000033e+00
6.347656250000000000e-01 9.090294576000000234e+03 1.956091956999999937e+00
6.367187500000000000e-01 9.039099073999999746e+03 1.964262750999999918e+00
6.386718750000000000e-01 8.987904825999999957e+03 1.972520717999999951e+00
6.406250000000000000e-01 8.936707634000000326e+03 1.980867522999999908e+00
6.425781250000000000e-01 8.885506272000000536e+03 1.989304750000000066e+00
6.445312500000000000e-01 8.834304232000000411e+03 1.997833863000000099e+00
6.464843750000000000e-01 8.783105396999999357e+03 2.006456301000000053e+00
6.484375000000000000e-01 8.731913538999999219e+03 2.015173491000000094e+00
6.503906250000000000e-01 8.680731207000000722e+03 2.023986852999999808e+00
6.523437500000000000e-01 8.629559975000000122e+03 2.032897804000000086e+00
6.542968750000000000e-01 8.578401377000000139e+03 2.041907742999999886e+00
6.562500000000000000e-01 8.527257023000000117e+03 2.051018060000000087e+00
6.582031250000000000e-01 8.476129113999999390e+03 2.060230128999999799e+00
6.601562500000000000e-01 8.425020075000000361e+03 2.069545316000000135e+00
6.621093750000000000e-01 8.373932312999999340e+03 2.078964972000000078e+00
6.640625000000000000e-01 8.322868228999999701e+03 2.088490499000000167e+00
6.660156250000000000e-01 8.271830260999999155e+03 2.098123514000000078e+00
6.679687500000000000e-01 8.220820836000000781e+03 2.107865660999999946e+00
6.699218750000000000e-01 8.169842362000000321e+03 2.117718571999999799e+00
6.718750000000000000e-01 8.118897340999999869e+03 2.127683928000000169e+00
6.738281250000000000e-01 8.067988479999999981e+03 2.137763512999999893e+00
6.757812500000000000e-01 8.017118486000000303e+03 2.147959107999999784e+00
6.777343750000000000e-01 7.966290047000000413e+03 2.158272483000000186e+00
6.796875000000000000e-01 7.915505984000000353e+03 2.168705536000000045e+00
6.816406250000000000e-01 7.864769277000000329e+03 2.179260315000000059e+00
6.835937500000000000e-01 7.814082889999999679e+03 2.189938859999999821e+00
6.855468750000000000e-01 7.763449776999999813e+03 2.200743201999999954e+00
6.875000000000000000e-01 7.712873093000000154e+03 2.211675499000000045e+00
6.894531250000000000e-01 7.662356142999999975e+03 2.222737996999999854e+00
6.914062500000000000e-01 7.611902208000000428e+03 2.233932929999999928e+00
6.933593750000000000e-01 7.561514573000000382e+03 2.245262524000000148e+00
6.953125000000000000e-01 7.511196786999999858e+03 2.256729151000000044e+00
6.972656250000000000e-01 7.460952521000000161e+03 2.268335242000000029e+00
6.992187500000000000e-01 7.410785420000000158e+03 2.280083209999999916e+00
7.011718750000000000e-01 7.360699153999999908e+03 2.291975465000000156e+00
7.031250000000000000e-01 7.310697715999999673e+03 2.304014512000000181e+00
7.050781250000000000e-01 7.260785203000000365e+03 2.316202881999999796e+00
7.070312500000000000e-01 7.210965677999999571e+03 2.328543079000000127e+00
7.089843750000000000e-01 7.161243260000000191e+03 2.341037637999999976e+00
7.109375000000000000e-01 7.111622449999999844e+03 2.353689301999999817e+00
7.128906250000000000e-01 7.062107828999999583e+03 2.366500852999999793e+00
7.148437500000000000e-01 7.012703945000000203e+03 2.379475053000000173e+00
7.167968750000001110e-01 6.963415433999999550e+03 2.392614709000000062e+00
