#psi, P, q
2.949218750000000000e-01 1.031743889999999919e+04 1.530612306000000089e+00
2.968750000000000000e-01 1.029833731000000080e+04 1.533357228999999933e+00
2.988281250000000000e-01 1.027914652000000024e+04 1.536117814000000026e+00
3.007812500000000000e-01 1.025986606000000029e+04 1.538894216999999953e+00
3.027343750000000000e-01 1.024049532999999974e+04 1.541686600000000018e+00
3.046875000000000000e-01 1.022103391000000011e+04 1.544495117999999945e+00
3.066406250000000000e-01 1.020148185000000012e+04 1.547319917999999905e+00
3.085937500000000000e-01 1.018183922999999959e+04 1.550161144999999907e+00
3.105468750000000000e-01 1.016210590000000047e+04 1.553018954999999979e+00
3.125000000000000000e-01 1.014228141999999934e+04 1.555893519999999919e+00
3.144531250000000000e-01 1.012236537999999928e+04 1.558785007000000000e+00
3.164062500000000000e-01 1.010235735000000022e+04 1.561693594999999934e+00
3.183593750000000000e-01 1.008225693999999930e+04 1.564619462000000016e+00
3.203125000000000000e-01 1.006206394000000000e+04 1.567562778000000101e+00
3.222656250000000000e-01 1.004177849000000060e+04 1.570523708000000074e+00
3.242187500000000000e-01 1.002140070999999989e+04 1.573502410999999990e+00
3.261718750000000000e-01 1.000093042000000059e+04 1.576499054999999982e+00
3.281250000000000000e-01 9.980367260000000897e+03 1.579513814000000016e+00
3.300781250000000000e-01 9.959710877999999866e+03 1.582546859000000028e+00
3.320312500000000000e-01 9.938960976000000301e+03 1.585598365000000065e+00
3.339843750000000000e-01 9.918117270999999164e+03 1.588668505000000009e+00
3.359375000000000000e-01 9.897179659999999785e+03 1.591757451999999962e+00
3.378906250000000000e-01 9.876148268000000826e+03 1.594865374000000058e+00
3.398437500000000000e-01 9.855023220999999467e+03 1.597992437000000043e+00
3.417968750000000000e-01 9.833804400999999416e+03 1.601138831000000096e+00
3.437500000000000000e-01 9.812491550000000643e+03 1.604304755000000027e+00
3.457031250000000000e-01 9.791084415999999692e+03 1.607490410000000036e+00
3.476562500000000000e-01 9.769582780999999159e+03 1.610695999000000045e+00
3.496093750000000000e-01 9.747986441999999442e+03 1.613921726999999917e+00
3.515625000000000000e-01 9.726295292000000700e+03 1.617167797000000018e+00
3.535156250000000000e-01 9.704509416999999303e+03 1.620434413999999990e+00
3.554687500000000000e-01 9.682628925999999410e+03 1.623721782000000058e+00
3.574218750000000000e-01 9.660653817000000345e+03 1.627030103000000061e+00
3.593750000000000000e-01 9.638583963999999469e+03 1.630359582000000085e+00
3.613281250000000000e-01 9.616419240999999602e+03 1.633710420999999968e+00
3.632812500000000000e-01 9.594159524999999121e+03 1.637082826999999963e+00
3.652343750000000000e-01 9.571804695999999240e+03 1.640477012000000068e+00
3.671875000000000000e-01 9.549354654999999184e+03 1.643893185999999895e+00
3.691406250000000000e-01 9.526809407000000647e+03 1.647331557000000002e+00
3.710937500000000000e-01 9.504168992000000799e+03 1.650792333999999917e+00
3.730468750000000000e-01 9.481433447999999771e+03 1.654275726000000057e+00
3.750000000000000000e-01 9.458602799000000232e+03 1.657781960999999971e+00
3.769531250000000000e-01 9.435677066000000195e+03 1.661311264999999926e+00
3.789062500000000000e-01 9.412656247999999323e+03 1.664863860999999945e+00
3.808593750000000000e-01 9.389540295999999216e+03 1.668439973999999992e+00
3.828125000000000000e-01 9.366329155999999784e+03 1.672039819000000094e+00
3.847656250000000000e-01 9.343022797999999966e+03 1.675663614000000079e+00
3.867187500000000000e-01 9.319621225999999297e+03 1.679311567000000061e+00
3.886718750000000000e-01 9.296124449000000823e+03 1.682983888999999955e+00
3.906250000000000000e-01 9.272532524000000194e+03 1.686680790000000041e+00
3.925781250000000000e-01 9.248845552999999200e+03 1.690402489000000008e+00
3.945312500000000000e-01 9.225063643999999840e+03 1.694149203000000048e+00
3.964843750000000000e-01 9.201186863999999332e+03 1.697921169000000008e+00
3.984375000000000000e-01 9.177215249000000767e+03 1.701718642999999975e+00
4.003906250000000000e-01 9.153148834999999963e+03 1.705541879000000094e+00
4.023437500000000000e-01 9.128987660999999207e+03 1.709391128999999898e+00
4.042968750000000000e-01 9.104731776000000536e+03 1.713266648000000059e+00
4.062500000000000000e-01 9.080381228000000192e+03 1.717168688000000110e+00
4.082031250000000000e-01 9.055936106999999538e+03 1.721097539999999926e+00
4.101562500000000000e-01 9.031396527000000788e+03 1.725053517999999952e+00
4.121093750000000000e-01 9.006762602999999217e+03 1.729036932000000082e+00
4.140625000000000000e-01 8.982034466999999495e+03 1.733048118999999998e+00
4.160156250000000000e-01 8.957212256000000707e+03 1.737087424000000047e+00
4.179687500000000000e-01 8.932296107000000120e+03 1.741155191000000046e+00
4.199218750000000000e-01 8.907286142999999356e+03 1.745251769000000008e+00
4.218750000000000000e-01 8.882182478000000629e+03 1.749377509999999969e+00
4.238281250000000000e-01 8.856985231000000567e+03 1.753532760999999995e+00
4.257812500000000000e-01 8.831694563999999446e+03 1.757717854000000024e+00
4.277343750000000000e-01 8.806310663000000204e+03 1.761933114000000078e+00
4.296875000000000000e-01 8.780833710999999312e+03 1.766178865000000098e+00
4.316406250000000000e-01 8.755263832000000548e+03 1.770455467999999977e+00
